APPLING01,gold
APPLING02,gold
BAKER01,pink 
BALDWIN01,crimson
BANKS01,gold
BARTOW01,crimson
BERRIEN01,green
BIBB01,rgb\(101,67,33\)
BIBB02,rgb\(101,67,33\)
BROOKS01,crimson
BROOKS02,crimson
BRYAN01,pink
BULLOCH01,gold
BURKE01,blue
BUTTS01,pink
CALHOUN01,pink
CAMDEN01,pink
CAMDEN02,pink
CAMDEN04,pink
CAMDEN05,pink
CAMDEN06,pink
CAMDEN07,pink
CAMDEN08,pink
CAMDEN09,pink
CAMPBELL01,pink
CARROLL01,gold
CATOOSA01,green
CHARLTON01,green
CHATHAM01,blue
CHATHAM02,blue
CHATHAM03,blue
CHATHAM04,blue
CHATHAM05,blue
CHATHAM06,blue
CHATHAM07,blue
CHATHAM08,blue
CHATHAM09,blue
CHATHAM10,blue
CHATHAM11,blue
CHATHAM12,blue
CHATHAM13,blue
CHATTAHOOCHEE01,pink
CHATTOOGA01,gold
CHEROKEE01,gold
CLARKE01,crimson
CLAY01,pink
CLAYTON01,pink
CLINCH01,green
COBB01,crimson
COFFEE01,gold
COLQUITT01,green
COLUMBIA01,crimson
COWETA01,tan
CRAWFORD01,pink
DADE01,gold
DAWSON01,green
DECATUR01,tan
DEKALB01,pink
DODGE01,gold
DOOLY01,crimson
DOUGHERTY01,tan
DOUGLAS01,gold
EARLY01,pink
ECHOLS01,green
EFFINGHAM01,pink
ELBERT01,crimson
EMANUEL01,gold
FANNIN01,green
FAYETTE01,pink
FLOYD01,crimson
FORSYTH01,gold
FRANKLIN01,pink
FULTON01,rgb\(101,67,33\)
GILMER01,green
GLASCOCK01,gold
GLYNN01,pink
GLYNN02,pink
GLYNN03,pink
GLYNN04,pink
GLYNN05,pink
GLYNN06,pink
GLYNN07,pink
GLYNN08,pink
GLYNN09,pink
GLYNN10,pink
GLYNN11,pink
GORDON01,gold
GREENE01,tan
GWINNETT01,pink
HABERSHAM01,gold
HALL01,gold
HANCOCK01,tan
HARALSON01,green
HARRIS01,crimson
HART01,pink 
HEARD01,pink 
HENRY01,crimson
HOUSTON01,rgb\(101,67,33\)
IRWIN01,green
IRWIN02,green
JACKSON01,crimson
JASPER01,crimson
JEFFERSON01,tan
JOHNSON01,tan
JONES01,crimson
LAURENS01,pink
LEE01,crimson
LIBERTY01,crimson
LIBERTY02,crimson
LIBERTY03,crimson
LIBERTY04,crimson
LIBERTY05,crimson
LIBERTY06,crimson
LIBERTY07,crimson
LIBERTY08,crimson
LIBERTY09,crimson
LINCOLN01,pink
LOWNDES01,crimson  
LUMPKIN01,green
MACON01,crimson
MADISON01,pink
MARION01,pink
MARION02,pink
MARION03,pink
McDUFFIE01,crimson
McINTOSH01,pink
McINTOSH02,pink
McINTOSH03,pink
McINTOSH04,pink
McINTOSH05,pink
McINTOSH06,pink
McINTOSH07,pink
McINTOSH08,pink
McINTOSH09,pink
McINTOSH10,pink
McINTOSH11,pink
MERIWETHER01,crimson
MILLER01,gold
MILTON01,green
MITCHELL01,pink
MONROE01,tan
MONTGOMERY01,gold
MORGAN01,crimson
MURRAY01,green
MUSCOGEE01,crimson
NEWTON01,crimson
OCONEE01,pink
OGLETHORPE01,crimson
PAULDING01,green
PICKENS01,green
PIERCE01,gold
PIKE01,pink
POLK01,pink
PULASKI01,crimson
PUTNAM01,tan
QUITMAN01,pink
RABUN01,green
RANDOLPH01,crimson
RICHMOND01,rgb\(101,67,33\)
ROCKDALE01,pink
SCHLEY01,pink
SCREVEN01,crimson
SPALDING01,pink
STEWART01,crimson
SUMTER01,tan
TALBOT01,crimson
TALBOT02,crimson
TALBOT03,crimson
TALBOT04,crimson
TALBOT05,crimson
TALIAFERRO01,pink
TATTNALL01,gold
TAYLOR01,pink
TAYLOR02,pink
TAYLOR03,pink
TELFAIR01,gold
TERRELL01,crimson
THOMAS01,tan
TOWNS01,green
TROUP01,tan
TWIGGS01,crimson
TWIGGS02,crimson
UNION01,green
UPSON01,crimson
WALKER01,gold
WALTON01,crimson
WARE01,gold
WARREN01,crimson
WASHINGTON01,tan
WAYNE01,gold
WEBSTER01,crimson
WHITE01,green
WHITFIELD01,gold
WILCOX01,green
WILCOX02,green
WILCOX03,green
WILKES01,tan
WILKINSON01,pink
WORTH01,gold
WORTH02,gold
